"STU_ID","BYSEX","BYRACE","BYMOTHED","BYWRTNGA"
108203,1,7,4,0.052
108204,1,7,2,-0.63
108205,1,2,5,0.612
108206,2,7,2,-4
108207,2,4,2,1.196
108208,2,7,2,-4
108209,-4,-4,-4,-4
108210,1,7,4,-0.216
108211,2,7,2,-0.898
108212,1,7,2,0.052
108214,1,7,4,-4
108216,1,3,6,1.001
108217,2,7,4,1.001
108220,1,7,1,-4
108221,1,7,1,-4
108222,1,7,7,-0.143
108223,1,7,2,-4
108225,1,7,4,0.704
108226,1,7,3,0.052
108227,2,7,6,1.001
108228,1,7,6,-4
108229,1,7,5,-1.166
108230,2,7,3,-4
109102,2,7,2,-9
109103,2,7,6,1.27
109104,1,7,3,1.001
109105,1,7,3,1.001
109106,1,7,3,-1
109107,1,2,3,0.052
109108,1,7,2,1.27
109109,1,7,6,0.704
109110,2,3,4,-4
109111,1,2,2,-4
109112,1,7,7,-9
109113,1,7,5,-9
109114,2,7,4,-9
109115,2,7,2,1.001
109116,2,7,5,-4
109117,2,2,6,1.27
109118,1,7,5,-9
109119,2,2,6,-9
109120,2,7,2,1.001
109121,1,2,5,-9
109122,2,7,2,-9
109123,1,7,3,-9
109124,1,7,6,-9
109125,2,2,2,1.756
109126,2,7,6,-9
109127,1,7,5,1.001
109128,2,7,2,1.27
109161,-8,-8,-8,-8
109201,1,3,5,-1.469
109202,2,7,4,-0.435
109204,1,7,7,-4
109205,2,7,2,0.052
109206,2,-8,2,-1.579
109208,2,7,6,-4
109210,1,7,2,-4
109211,2,7,4,-4
109212,1,7,7,1.001
109213,2,7,2,1.001
109214,2,2,7,-4
109215,2,7,2,0.807
109216,1,7,4,-0.703
109217,2,7,6,1.27
109218,1,7,4,-4
109220,1,7,7,-0.903
109221,-4,-4,-4,-4
109222,2,7,6,0.326
109223,2,7,6,-1.847
109224,1,7,2,-4
109225,2,7,2,-4
109226,2,7,2,1.196
109227,1,7,5,-4
109230,2,7,2,0.32
109231,1,7,3,-0.411
109232,1,7,2,-0.898
110101,1,7,2,-0.898
110102,1,7,2,0.32
110103,2,7,1,0.052
110104,1,5,2,1.275
110105,1,7,2,-0.898
110106,1,7,6,-0.143
110107,2,2,5,0.052
110108,1,7,6,0.812
