"STU_ID","BYSEX","BYRACE","BYMOTHED","BYTXMSTD","F1TXMSTD"
107110,1,7,5,53.44,55.98
107111,2,7,5,39.51,-8
107112,2,7,3,55.54,49.88
107113,2,7,4,48.07,43.21
107114,2,7,2,26.75,34.15
107115,1,7,2,49.38,49.79
107116,2,2,7,59.96,63.26
107117,2,7,5,47.85,40.84
107119,1,7,2,50.72,52.66
107120,1,7,1,31.63,32.68
107121,1,6,4,53.67,53.74
107122,1,5,2,48.64,45.78
107123,1,7,3,72.91,74.97
107124,1,7,2,56.66,57.07
107125,1,7,3,61.51,66.23
107126,1,7,2,24.26,39.17
107127,1,7,4,56.11,54.05
107128,2,7,4,56.63,53.37
107129,1,7,6,64.35,69.2
107130,1,7,2,25.61,36.72
107131,1,7,2,27.97,29.77
107132,1,7,2,42.93,40.66
107201,2,7,2,61.52,53.15
107202,1,7,2,49.78,49.22
107203,2,5,2,41.12,-8
107204,1,7,4,34.08,-8
107206,1,7,4,61.29,56.69
107207,2,7,2,49.74,52.9
107208,1,5,3,33.62,30.51
107209,2,7,4,34.76,29.74
107210,1,7,2,58.4,55.48
107211,2,3,3,40,37.98
107212,1,7,5,45.07,37.8
107213,1,6,6,58.15,52.37
107215,1,7,2,47.41,46.35
107216,1,7,2,37.9,36.81
107217,1,7,2,58.57,58.88
107218,2,4,2,35.17,-8
107219,1,7,3,37.93,38.02
107220,1,7,6,59.65,56.02
107221,1,7,2,44.99,37.73
107222,1,7,4,53.79,41.08
107223,1,7,4,56.48,51.93
107224,2,7,4,46.08,-8
107225,1,7,2,40.44,-8
107226,1,2,1,53,55.15
107229,1,7,2,34.31,36.92
107231,1,7,2,43.06,37.95
107232,2,7,5,56.59,50.87
108101,2,7,6,48.49,56.56
108103,1,7,7,59.37,58.29
108105,2,2,8,77.58,72.59
108106,2,7,6,55.48,51.74
108107,1,2,7,53.17,74.61
108109,2,7,6,56.65,74.97
108110,1,7,7,53.1,59
108111,1,2,6,75.98,74.97
108115,2,7,7,46.6,40.46
108117,1,7,6,58.68,68.05
108120,2,7,6,64.72,60.59
108122,2,7,8,66.25,68.48
108125,1,2,6,55.99,52.69
108126,2,2,6,66.68,65.61
108127,2,7,2,67.84,53.7
108128,2,7,7,62.89,65.06
108129,2,7,7,72.17,69.53
108201,2,7,2,49.87,48.51
108203,1,7,4,57.67,55.47
108204,1,7,2,47.97,53.59
108205,1,2,5,73.24,-8
108206,2,7,2,45.62,47.67
108207,2,4,2,45.26,46.43
108208,2,7,2,48.12,57.31
108209,-4,-4,-4,44.42,-8
108210,1,7,4,55.08,50.69
108211,2,7,2,51.26,47.96
108212,1,7,2,59.01,57.08
108214,1,7,4,38.79,-8
108216,1,3,6,44.29,47.29
108217,2,7,4,57.8,51.67
108220,1,7,1,49.44,-8
108221,1,7,1,62.9,58.82
108222,1,7,7,51.56,56.81
108223,1,7,2,49.26,43.73
108225,1,7,4,53.32,55.17
108226,1,7,3,57.6,56.29
108227,2,7,6,62.54,59.28
108228,1,7,6,62.95,66.51
108229,1,7,5,51.88,46.77
108230,2,7,3,56.56,54.76
109102,2,7,2,43.03,38.57
109103,2,7,6,58.64,66.3
109104,1,7,3,54.56,57.75
109105,1,7,3,45.45,49.68
109106,1,7,3,25.72,-8
109107,1,2,3,51.71,35.85
109108,1,7,2,56.63,57.96
109109,1,7,6,68.76,72.19
109110,2,3,4,47.81,48.05
109111,1,2,2,37.9,-8
109112,1,7,7,61.64,61.14
109113,1,7,5,59.78,65.33
109114,2,7,4,42.38,41.94
109115,2,7,2,57.61,60.01
109116,2,7,5,46.15,39.9
109117,2,2,6,52.22,57.59
109118,1,7,5,54.48,54.33
109119,2,2,6,60.93,60.8
109120,2,7,2,59.44,57.64
109121,1,2,5,51.11,74.61
109122,2,7,2,50.42,54.47
109123,1,7,3,70.63,65.65
109124,1,7,6,66.83,61.13
109125,2,2,2,55.88,57.35
109126,2,7,6,52.58,51.24
109127,1,7,5,64.94,67.81
109128,2,7,2,56.83,57.55
109161,-8,-8,-8,-8,42.21
109201,1,3,5,38.59,-8
109202,2,7,4,59.8,60.27
109204,1,7,7,59.97,60.5
109205,2,7,2,44.97,46.65
109206,2,-8,2,-8,26.47
109208,2,7,6,64.88,62.41
109210,1,7,2,63.66,54.64
109211,2,7,4,57.75,53.51
109212,1,7,7,68.76,72.5
109213,2,7,2,62.13,62.36
109214,2,2,7,61.42,61.03
109215,2,7,2,48.05,49.28
109216,1,7,4,55.57,57.89
109217,2,7,6,60.16,-8
109218,1,7,4,63.52,68.74
109220,1,7,7,52.85,55.95
109221,-4,-4,-4,56.16,53.35
109222,2,7,6,64.06,60.66
109223,2,7,6,37.31,35.23
109224,1,7,2,57.73,52.08
109225,2,7,2,62.58,58.29
109226,2,7,2,56.88,52.99
109227,1,7,5,60.32,57.34
109230,2,7,2,50.03,51.94
109231,1,7,3,33.1,31.18
109232,1,7,2,52.65,54.82
110101,1,7,2,64.06,53.4
110102,1,7,2,54.02,46.52
110103,2,7,1,57.04,53.33
110104,1,5,2,68.16,70.85
110105,1,7,2,64.24,67.22
110106,1,7,6,52.45,54.41
110107,2,2,5,48.62,47.82
110108,1,7,6,66.26,63.22
110109,2,2,3,60.2,61.58
110111,2,7,1,55.12,-8
110114,1,7,5,56.09,56.97
110116,2,7,6,62.5,62.08
110117,1,7,2,65.27,66.71
110118,2,7,2,47.56,47.51
110119,2,7,2,62.49,62.53
110120,2,7,6,66.39,71.4
110122,1,7,6,57.54,56.61
110123,1,7,4,47,52.85
110124,2,7,6,63,69.65
110125,1,5,1,38.34,-8
110126,1,7,2,51.07,49.79
110127,1,7,6,61.71,64.64
110128,2,6,2,44.64,-8
110129,2,7,6,62.59,-8
110130,1,7,5,53.85,-8
110201,1,7,6,45.74,44.16
110202,1,7,3,67.57,70.01
110203,1,7,4,50.17,50.1
110204,1,2,6,55.02,52.45
110205,1,7,5,59.21,57.56
110206,1,4,2,51.99,-8
110207,2,7,7,56.4,53.21
110209,1,7,4,47.83,-8
110210,2,7,2,56.19,49.32
110211,2,7,4,48.89,49.14
110213,1,7,6,50.83,52.05
110214,2,7,5,48.24,50.05
110215,2,7,3,49.32,54.35
110218,2,7,2,41.91,38.96
110219,1,7,6,57.39,60.1
110220,2,7,2,41.22,38.12
110221,1,7,2,53.41,57.77
110222,2,6,1,45.18,43.92
110224,2,7,6,51.71,48.54
110225,2,7,5,48.03,49.23
110226,2,7,7,43.15,38.88
110227,2,7,3,52.67,48.76
110228,2,7,6,58.55,59.08
111101,1,4,1,55.51,56.19
111102,-4,-4,-4,46.23,-8
111103,1,4,5,52.77,-8
111105,2,6,5,51.76,50.14
111107,1,3,4,51.86,50.96
111108,1,7,4,56.16,-8
111109,2,7,3,56.72,56.98
111112,1,4,6,35.29,31.02
111113,2,6,4,44.28,44.81
111114,2,7,3,45.56,44.93
111115,2,2,6,40.96,38.45
111116,2,3,7,51.03,-8
111117,1,2,6,68.49,-8
111118,1,7,7,59.71,-8
111119,2,6,2,33.92,34.95
111120,1,7,6,69.05,71.56
111121,1,4,7,40.79,-8
111122,2,6,2,47.35,42.29
111124,2,4,2,55.9,58.18
111125,2,5,3,52.78,53.68
111126,1,7,6,71.26,69.6
111128,1,7,6,61.05,55.9
111130,1,7,6,75.14,68.48
111131,1,2,7,68.52,60.43
111132,-4,-4,-4,41.03,43.98
111133,2,3,3,46.91,38.85
111134,2,4,1,31.08,-8
111161,-8,-8,-8,-8,60.23
111162,-8,-8,-8,-8,40.98
111201,2,7,3,33.79,38.25
111202,2,7,4,67.26,66.87
111203,1,7,5,58.57,59.16
111204,2,7,3,38.06,40
111206,2,7,3,52.06,52.38
111208,2,5,3,40.07,-8
111210,2,7,3,57.3,54.75
111211,1,7,4,63.54,58.01
111213,2,7,6,61.3,59.85
111214,2,7,5,51.94,50.61
111216,1,7,2,49.88,-8
111217,2,7,1,40.83,35.75
111218,2,7,2,34.07,32.13
111219,1,6,1,51.83,49.27
111220,2,7,4,58.32,53.17
111221,1,7,4,52.57,-8
111222,1,7,2,44.58,-8
112101,2,7,2,43.15,37.74
112102,1,-8,-9,-8,-8
112104,1,7,6,56.03,56.94
112105,2,7,2,56.92,51.57
112106,1,7,3,48.21,-8
112107,2,7,2,56.21,52.24
112108,1,6,2,51.31,50.62
112109,-4,-4,-4,45.39,43.62
112110,1,7,3,53.42,51.97
112111,2,7,2,52.01,52.05
112112,2,7,5,38.09,40.61
112113,1,6,4,60.78,63.51
112114,1,7,4,58.85,57.97
112115,2,7,2,57.25,51.88
112116,2,7,6,53.62,48.64
112118,2,7,3,51.5,50.85
112120,2,7,7,27.42,35.52
112122,1,7,4,46.79,49.8
112123,1,-8,-9,-8,-8
112124,1,6,2,41.41,40.94
112162,-8,-8,-8,-8,-8
112201,1,2,6,75.29,71.07
112203,1,7,8,58.4,56.14
112206,2,7,7,63.88,59.98
112209,1,6,4,60.28,61.14
112210,1,7,6,42.97,43.69
112211,2,7,5,61.63,63.64
112212,2,2,6,47.35,-8
112213,1,2,6,62.57,62.57
112214,1,4,7,50.44,50.45
112215,1,2,7,54.28,74.61
112216,2,7,6,61.13,62.17
112218,2,7,6,49.24,56.86
112219,2,2,7,76.52,68.23
112220,1,7,7,75.29,72.75
112221,1,6,3,68.24,62.76
112223,2,7,6,61.65,58.33
112224,-4,-4,-4,57.25,56.35
112225,2,3,7,61.79,56.06
112226,2,7,7,57.36,59.43
112228,1,7,6,58.17,60.52
112229,-4,-4,-4,58.34,59.33
112231,1,7,3,36.88,36.06
112232,1,2,3,70.34,70.09
112233,2,2,7,65.91,62.48
112234,1,2,5,67.84,68.36
113101,2,6,2,38.46,44.91
